種類,年月,業者名稱,通話分鐘數(分),用戶數,平均用戶通話分鐘數(分)
4G,105/3,所有業者,997795053,13456349,74.15
3G,105/3,中華電信股份有限公司,380520425,5325949,71.45
3G,105/3,台灣大哥大股份有限公司,168236196,3790500,44.38
3G,105/3,台灣之星電信股份有限公司,50324829,1273143,39.53
3G,105/3,亞太電信股份有限公司,52027212,828573,62.79
3G,105/3,遠傳電信股份有限公司,214374866,3745160,57.24
2G,105/3,中華電信股份有限公司,37859804,509752,74.27
2G,105/3,台灣大哥大股份有限公司,2773255,190796,14.54
2G,105/3,遠傳電信股份有限公司,747528,72252,10.35
4G,105/2,所有業者,947522708,12852033,73.73
3G,105/2,中華電信股份有限公司,445190075,5576836,79.83
3G,105/2,台灣大哥大股份有限公司,160526886,3909414,41.06
3G,105/2,台灣之星電信股份有限公司,45783872,1304099,35.11
3G,105/2,亞太電信股份有限公司,44979433,882534,50.97
3G,105/2,遠傳電信股份有限公司,206975197,3901551,53.05
2G,105/2,中華電信股份有限公司,47011271,550574,85.39
2G,105/2,台灣大哥大股份有限公司,2989598,197099,15.17
2G,105/2,遠傳電信股份有限公司,786837,79172,9.94
4G,105/1,所有業者,1003825071,12206443,82.24
3G,105/1,中華電信股份有限公司,468986306,5819918,80.58
3G,105/1,台灣大哥大股份有限公司,183430192,4044058,45.36
3G,105/1,台灣之星電信股份有限公司,47857253,1325687,36.1
3G,105/1,亞太電信股份有限公司,35791480,930228,38.48
3G,105/1,遠傳電信股份有限公司,238703533,4046121,59
2G,105/1,中華電信股份有限公司,52961526,625168,84.72
2G,105/1,台灣大哥大股份有限公司,3325842,214648,15.49
2G,105/1,遠傳電信股份有限公司,873442,83172,10.5
4G,104/12,所有業者,960303698.2,11574394,82.97
3G,104/12,中華電信股份有限公司,468514348,6051556,77.42
3G,104/12,台灣大哥大股份有限公司,195627072,4207325,46.5
3G,104/12,台灣之星電信股份有限公司,53781646,1345486,39.97
3G,104/12,亞太電信股份有限公司,42483776,981617,43.28
3G,104/12,遠傳電信股份有限公司,256059743,4189989,61.11
2G,104/12,中華電信股份有限公司,54192582,698334,77.6
2G,104/12,台灣大哥大股份有限公司,3670702,226866,16.18
2G,104/12,遠傳電信股份有限公司,1038449,93541,11.1
4G,104/11,所有業者,916734282.6,10799493,84.89
3G,104/11,中華電信股份有限公司,511432810,6287038,81.35
3G,104/11,台灣大哥大股份有限公司,196571935,4388401,44.79
3G,104/11,台灣之星電信股份有限公司,52149012,1361737,38.3
3G,104/11,亞太電信股份有限公司,47019938,1034240,45.46
3G,104/11,遠傳電信股份有限公司,259964239,4354935,59.69
2G,104/11,中華電信股份有限公司,60729377,801601,75.76
2G,104/11,台灣大哥大股份有限公司,3863540,266783,14.48
2G,104/11,遠傳電信股份有限公司,1876254,102624,18.28
4G,104/10,所有業者,897496396.5,10086993,88.98
3G,104/10,中華電信股份有限公司,527294312,6526409,80.79
3G,104/10,台灣大哥大股份有限公司,221513523,4579817,48.37
3G,104/10,台灣之星電信股份有限公司,55303748,1376388,40.18
3G,104/10,亞太電信股份有限公司,56930514,1089826,52.24
3G,104/10,遠傳電信股份有限公司,293971905,4539042,64.77
2G,104/10,中華電信股份有限公司,61282058,874434,70.08
2G,104/10,台灣大哥大股份有限公司,4364572,277094,15.75
2G,104/10,遠傳電信股份有限公司,2522482,107479,23.47
4G,104/9,所有業者,855424527,9338141,91.61
3G,104/9,中華電信股份有限公司,557050344,6768920,82.3
3G,104/9,台灣大哥大股份有限公司,230619793,4790951,48.14
3G,104/9,台灣之星電信股份有限公司,54703977,1383235,39.55
3G,104/9,亞太電信股份有限公司,63377629,1159003,54.68
3G,104/9,遠傳電信股份有限公司,309309887,4758952,65
2G,104/9,中華電信股份有限公司,67885361,923312,73.52
2G,104/9,台灣大哥大股份有限公司,4654391,285287,16.31
2G,104/9,遠傳電信股份有限公司,2119946,100625,21.07
4G,104/8,所有業者,834359456,8663921,96.3
3G,104/8,中華電信股份有限公司,588753219,6967035,84.51
3G,104/8,台灣大哥大股份有限公司,248254521,4913463,50.53
3G,104/8,台灣之星電信股份有限公司,56905604,1385220,41.08
3G,104/8,亞太電信股份有限公司,73283587,1215803,60.28
3G,104/8,遠傳電信股份有限公司,335528379,4930694,68.05
